seed,n_qubits,depth_param,circuit_depth,n_cx,n_single_qubit_gates,total_gates,cx_density,noisy_expectation,zne_expectation,fold1,fold3,fold5,ideal_expectation
0,2,1,2,1,2,3,0.3333333333333333,0.9453333333333334,0.9553888888888886,0.9453333333333334,0.918,0.8993333333333333,1.0
1,2,1,2,1,2,3,0.3333333333333333,0.8953333333333333,0.9066666666666662,0.8953333333333333,0.8726666666666667,0.85,0.951952796444039
2,2,1,2,1,2,3,0.3333333333333333,0.952,0.9610555555555553,0.952,0.9266666666666666,0.91,1.0000000000000002
3,2,1,2,1,2,3,0.3333333333333333,0.946,0.9594444444444443,0.946,0.9246666666666666,0.8966666666666666,1.0
4,2,1,2,1,2,3,0.3333333333333333,0.9426666666666667,0.9517777777777774,0.9426666666666667,0.9133333333333333,0.8973333333333333,0.9999999999999999
5,2,1,2,1,2,3,0.3333333333333333,0.9513333333333334,0.9598888888888885,0.9513333333333334,0.9286666666666666,0.9126666666666666,0.9999999999999998
6,2,1,2,1,2,3,0.3333333333333333,-0.512,-0.5198888888888887,-0.512,-0.504,-0.4866666666666667,-0.553064610139617
7,2,1,2,1,2,3,0.3333333333333333,0.95,0.964444444444444,0.95,0.9233333333333333,0.894,1.0
8,2,1,2,1,2,3,0.3333333333333333,0.9546666666666667,0.9654444444444442,0.9546666666666667,0.932,0.9106666666666666,1.0
9,2,1,2,1,2,3,0.3333333333333333,-0.208,-0.21133333333333335,-0.208,-0.20133333333333334,-0.19466666666666665,-0.22927166240364538
10,2,1,2,1,2,3,0.3333333333333333,0.9446666666666667,0.9546111111111111,0.9446666666666667,0.9186666666666666,0.9,0.9999999999999999
11,2,1,2,1,2,3,0.3333333333333333,-0.952,-0.9645555555555553,-0.952,-0.928,-0.9026666666666666,-0.9999897063626382
12,2,2,4,2,4,6,0.3333333333333333,-0.5213333333333333,-0.5333888888888888,-0.5213333333333333,-0.5,-0.47533333333333333,-0.5546632784453969
13,2,2,4,2,4,6,0.3333333333333333,0.934,0.9650555555555549,0.934,0.8813333333333333,0.8173333333333334,0.9999999999999999
14,2,2,4,2,4,6,0.3333333333333333,0.37466666666666665,0.38499999999999984,0.37466666666666665,0.35733333333333334,0.336,0.40511469171154335
15,2,2,4,2,4,6,0.3333333333333333,-0.8546666666666667,-0.8728888888888885,-0.8546666666666667,-0.7993333333333333,-0.7666666666666667,-0.9005084959735022
16,2,2,4,2,4,6,0.3333333333333333,0.7586666666666667,0.7784444444444439,0.7586666666666667,0.7146666666666667,0.676,0.817542537834689
17,2,2,4,2,4,6,0.3333333333333333,0.9353333333333333,0.9611111111111109,0.9353333333333333,0.876,0.826,0.9999999999999998
18,2,2,4,2,4,6,0.3333333333333333,0.9146666666666666,0.9359444444444438,0.9146666666666666,0.8726666666666667,0.83,0.9820169992676269
19,2,2,4,2,4,6,0.3333333333333333,0.8366666666666667,0.8557777777777774,0.8366666666666667,0.804,0.7646666666666667,0.8934730314405689
20,2,2,4,2,4,6,0.3333333333333333,-0.7986666666666666,-0.8233888888888884,-0.7986666666666666,-0.7553333333333333,-0.7046666666666667,-0.8415166953570611
21,2,2,4,2,4,6,0.3333333333333333,0.5013333333333333,0.5186666666666666,0.5013333333333333,0.4766666666666667,0.44,0.5360774876917972
22,2,2,4,2,4,6,0.3333333333333333,-0.9066666666666666,-0.9284999999999998,-0.9066666666666666,-0.8613333333333333,-0.818,-0.9675388506780144
23,2,2,4,2,4,6,0.3333333333333333,0.33466666666666667,0.34433333333333327,0.33466666666666667,0.322,0.30133333333333334,0.3597026285457867
24,2,3,6,3,6,9,0.3333333333333333,0.8433333333333334,0.8686111111111109,0.8433333333333334,0.7866666666666666,0.7373333333333333,0.9143568547393418
25,2,3,6,3,6,9,0.3333333333333333,0.20333333333333334,0.2075555555555554,0.20333333333333334,0.186,0.17933333333333334,0.23171660131520894
26,2,3,6,3,6,9,0.3333333333333333,0.366,0.38044444444444436,0.366,0.3426666666666667,0.31266666666666665,0.3862517508502984
27,2,3,6,3,6,9,0.3333333333333333,-0.33466666666666667,-0.35005555555555534,-0.33466666666666667,-0.30333333333333334,-0.27266666666666667,-0.3544086867477841
28,2,3,6,3,6,9,0.3333333333333333,0.466,0.4831666666666665,0.466,0.4266666666666667,0.3933333333333333,0.5231303171267326
29,2,3,6,3,6,9,0.3333333333333333,-0.43066666666666664,-0.4498333333333331,-0.43066666666666664,-0.394,-0.35533333333333333,-0.5022822602553207
30,2,3,6,3,6,9,0.3333333333333333,-0.33,-0.34088888888888885,-0.33,-0.30266666666666664,-0.282,-0.32650422500962006
31,2,3,6,3,6,9,0.3333333333333333,0.02266666666666667,0.02299999999999999,0.02266666666666667,0.032,0.029333333333333333,0.019571908357510714
32,2,3,6,3,6,9,0.3333333333333333,-0.3473333333333333,-0.36438888888888865,-0.3473333333333333,-0.32266666666666666,-0.2866666666666667,-0.3878212707219594
33,2,3,6,3,6,9,0.3333333333333333,-0.7926666666666666,-0.8231666666666663,-0.7926666666666666,-0.73,-0.6693333333333333,-0.8484062262069865
34,2,3,6,3,6,9,0.3333333333333333,-0.44666666666666666,-0.4606666666666665,-0.44666666666666666,-0.4086666666666667,-0.38266666666666665,-0.45977572048053333
35,2,3,6,3,6,9,0.3333333333333333,-0.5566666666666666,-0.5751666666666663,-0.5566666666666666,-0.5213333333333333,-0.484,-0.6152434794469119
36,2,4,8,4,8,12,0.3333333333333333,0.21333333333333335,0.21622222222222212,0.21333333333333335,0.18866666666666668,0.18666666666666668,0.23254395474244238
37,2,4,8,4,8,12,0.3333333333333333,-0.268,-0.27666666666666656,-0.268,-0.244,-0.228,-0.30599594833751353
38,2,4,8,4,8,12,0.3333333333333333,-0.04933333333333333,-0.05111111111111111,-0.04933333333333333,-0.034666666666666665,-0.03333333333333333,-0.0019261985812825122
39,2,4,8,4,8,12,0.3333333333333333,-0.526,-0.5499999999999998,-0.526,-0.478,-0.43,-0.5518610161449087
40,2,4,8,4,8,12,0.3333333333333333,0.08866666666666667,0.09305555555555553,0.08866666666666667,0.07933333333333334,0.07066666666666667,0.12708086158302884
41,2,4,8,4,8,12,0.3333333333333333,-0.614,-0.6387222222222221,-0.614,-0.5673333333333334,-0.5173333333333333,-0.6725741516278385
42,2,4,8,4,8,12,0.3333333333333333,-0.7146666666666667,-0.7469444444444443,-0.7146666666666667,-0.6473333333333333,-0.5833333333333334,-0.7695188679051971
43,2,4,8,4,8,12,0.3333333333333333,-0.5966666666666667,-0.6248888888888885,-0.5966666666666667,-0.5246666666666666,-0.4713333333333333,-0.6617076926540632
44,2,4,8,4,8,12,0.3333333333333333,0.029333333333333333,0.028444444444444435,0.029333333333333333,0.023333333333333334,0.02666666666666667,0.04136229120898094
45,2,4,8,4,8,12,0.3333333333333333,0.672,0.7030555555555553,0.672,0.616,0.5526666666666666,0.7288465906967427
46,2,4,8,4,8,12,0.3333333333333333,0.298,0.30983333333333324,0.298,0.26266666666666666,0.24133333333333334,0.34925659109124485
47,2,4,8,4,8,12,0.3333333333333333,0.020666666666666667,0.022222222222222216,0.020666666666666667,0.008666666666666666,0.007333333333333333,0.0037805563582877233
48,2,5,10,5,10,15,0.3333333333333333,0.18,0.1924444444444443,0.18,0.15733333333333333,0.132,0.15788482107999374
49,2,5,10,5,10,15,0.3333333333333333,-0.296,-0.3168333333333332,-0.296,-0.2693333333333333,-0.22466666666666665,-0.32977828591906994
50,2,5,10,5,10,15,0.3333333333333333,0.02,0.027611111111111104,0.02,0.008666666666666666,-0.007333333333333333,0.038036327623031274
