seed,n_qubits,depth_param,circuit_depth,n_cx,n_single_qubit_gates,total_gates,cx_density,noisy_expectation,zne_expectation,fold1,fold3,fold5,ideal_expectation
0,2,1,2,1,2,3,0.3333333333333333,0.96,0.9645000000000005,0.96,0.9493333333333334,0.9406666666666667,1.0
1,2,1,2,1,2,3,0.3333333333333333,0.908,0.9128333333333337,0.908,0.9,0.89,0.951952796444039
2,2,1,2,1,2,3,0.3333333333333333,0.9666666666666667,0.9705555555555558,0.9666666666666667,0.96,0.952,1.0000000000000002
3,2,1,2,1,2,3,0.3333333333333333,0.9533333333333334,0.9588333333333335,0.9533333333333334,0.9473333333333334,0.9353333333333333,1.0
4,2,1,2,1,2,3,0.3333333333333333,0.9633333333333334,0.9682777777777781,0.9633333333333334,0.9506666666666667,0.9413333333333334,0.9999999999999999
5,2,1,2,1,2,3,0.3333333333333333,0.9653333333333334,0.9689444444444449,0.9653333333333334,0.9553333333333334,0.9486666666666667,0.9999999999999998
6,2,1,2,1,2,3,0.3333333333333333,-0.53,-0.5420555555555556,-0.53,-0.5053333333333333,-0.48133333333333334,-0.553064610139617
7,2,1,2,1,2,3,0.3333333333333333,0.9526666666666667,0.9575555555555557,0.9526666666666667,0.9406666666666667,0.9313333333333333,1.0
8,2,1,2,1,2,3,0.3333333333333333,0.966,0.9692222222222223,0.966,0.9606666666666667,0.954,1.0
9,2,1,2,1,2,3,0.3333333333333333,-0.206,-0.21516666666666676,-0.206,-0.18933333333333333,-0.17066666666666666,-0.22927166240364538
10,2,1,2,1,2,3,0.3333333333333333,0.9586666666666667,0.9621111111111113,0.9586666666666667,0.9473333333333334,0.9413333333333334,0.9999999999999999
11,2,1,2,1,2,3,0.3333333333333333,-0.944,-0.9575555555555557,-0.944,-0.9113333333333333,-0.8853333333333333,-0.9999897063626382
12,2,2,4,2,4,6,0.3333333333333333,-0.5366666666666666,-0.5526111111111113,-0.5366666666666666,-0.5153333333333333,-0.48133333333333334,-0.5546632784453969
13,2,2,4,2,4,6,0.3333333333333333,0.9473333333333334,0.9583333333333335,0.9473333333333334,0.9253333333333333,0.9033333333333333,0.9999999999999999
14,2,2,4,2,4,6,0.3333333333333333,0.402,0.4080000000000002,0.402,0.38666666666666666,0.37533333333333335,0.40511469171154335
15,2,2,4,2,4,6,0.3333333333333333,-0.8526666666666667,-0.872,-0.8526666666666667,-0.814,-0.7753333333333333,-0.9005084959735022
16,2,2,4,2,4,6,0.3333333333333333,0.7693333333333333,0.7830000000000001,0.7693333333333333,0.7353333333333333,0.7093333333333334,0.817542537834689
17,2,2,4,2,4,6,0.3333333333333333,0.9553333333333334,0.9648333333333339,0.9553333333333334,0.9346666666666666,0.916,0.9999999999999998
18,2,2,4,2,4,6,0.3333333333333333,0.9453333333333334,0.9527777777777781,0.9453333333333334,0.9293333333333333,0.9146666666666666,0.9820169992676269
19,2,2,4,2,4,6,0.3333333333333333,0.8566666666666667,0.8636666666666666,0.8566666666666667,0.8393333333333334,0.826,0.8934730314405689
20,2,2,4,2,4,6,0.3333333333333333,-0.802,-0.8190000000000003,-0.802,-0.7746666666666666,-0.7393333333333333,-0.8415166953570611
21,2,2,4,2,4,6,0.3333333333333333,0.514,0.525,0.514,0.492,0.47,0.5360774876917972
22,2,2,4,2,4,6,0.3333333333333333,-0.9133333333333333,-0.9358333333333337,-0.9133333333333333,-0.8733333333333333,-0.8273333333333334,-0.9675388506780144
23,2,2,4,2,4,6,0.3333333333333333,0.356,0.3604999999999998,0.356,0.3453333333333333,0.33666666666666667,0.3597026285457867
24,2,3,6,3,6,9,0.3333333333333333,0.8546666666666667,0.8746666666666669,0.8546666666666667,0.798,0.7613333333333333,0.9143568547393418
25,2,3,6,3,6,9,0.3333333333333333,0.23333333333333334,0.2326666666666667,0.23333333333333334,0.23466666666666666,0.236,0.23171660131520894
26,2,3,6,3,6,9,0.3333333333333333,0.39466666666666667,0.39416666666666667,0.39466666666666667,0.3973333333333333,0.398,0.3862517508502984
27,2,3,6,3,6,9,0.3333333333333333,-0.31133333333333335,-0.3387777777777778,-0.31133333333333335,-0.25866666666666666,-0.20333333333333334,-0.3544086867477841
28,2,3,6,3,6,9,0.3333333333333333,0.5166666666666667,0.5160555555555558,0.5166666666666667,0.5206666666666667,0.5213333333333333,0.5231303171267326
29,2,3,6,3,6,9,0.3333333333333333,-0.45,-0.4628333333333333,-0.45,-0.4226666666666667,-0.3973333333333333,-0.5022822602553207
30,2,3,6,3,6,9,0.3333333333333333,-0.2853333333333333,-0.30494444444444446,-0.2853333333333333,-0.24333333333333335,-0.20466666666666666,-0.32650422500962006
31,2,3,6,3,6,9,0.3333333333333333,0.030666666666666665,0.025333333333333322,0.030666666666666665,0.04466666666666667,0.05466666666666667,0.019571908357510714
32,2,3,6,3,6,9,0.3333333333333333,-0.37,-0.38944444444444437,-0.37,-0.3233333333333333,-0.286,-0.3878212707219594
33,2,3,6,3,6,9,0.3333333333333333,-0.7926666666666666,-0.8198888888888888,-0.7926666666666666,-0.7226666666666667,-0.6713333333333333,-0.8484062262069865
34,2,3,6,3,6,9,0.3333333333333333,-0.444,-0.46161111111111125,-0.444,-0.406,-0.37133333333333335,-0.45977572048053333
